Date,Year,Month,Day,Time all food in (to match with GPS data),Enclosure,Food Description,Food Type,# Food Buckets,Temperature,Weather,# Ravens Present,Predator/Alarm Call Playback,Food at Wolf/Bear Enclosure,Two Heap Experiment,Novel Person/Object,Hunting/Culling/Construction Work,Feeding in Smaller/Separation Enclosure,# Juveniles Close By,# Juveniles on Ground,Notes
2020/11/05,2020,11,5,,Wild boar,"Pellets, bread",Bread + pellets,2,6,2,43,0,0,0,1,0,0,NA,NA,Novel object
2020/11/06,2020,11,6,,Wild boar,"Pellets, bread",Bread + pellets,2,3,1,30,0,0,0,0,0,0,NA,NA,
2020/11/10,2020,11,10,,Wild boar,"Bread, pellets, fruit",Bread + pellets + vegetables/fruit,3,3,2,32,0,0,0,0,0,0,NA,NA,
2020/11/11,2020,11,11,,Wild boar,"Bread, pellets, salad",Bread + pellets + vegetables/fruit,3,3,2,45,0,0,0,1,0,0,NA,NA,Novel object
2020/11/12,2020,11,12,,Wild boar,"Pellets, bread",Bread + pellets,2,4,1,47,0,0,0,0,0,0,NA,NA,
2020/11/13,2020,11,13,,Wild boar,"Pellets, very little bread",Pellets,2,4,1,24,1,0,0,0,0,0,NA,NA,Goshawk playback
2020/11/16,2020,11,16,,Wild boar,"Pellets, bread, tomatoes",Bread + pellets + vegetables/fruit,3,5,4,30,0,0,0,1,0,0,NA,NA,Novel object
2020/11/17,2020,11,17,,Wild boar,"Pellets, bread, fries, tomatoes, noodles",Bread + pellets + vegetables/fruit + kitchen scraps,3,5,2,55,0,0,0,0,0,0,NA,NA,
2020/11/18,2020,11,18,,Wild boar,Pellets,Pellets,1,4,1,17,0,0,0,0,1,0,NA,NA,Construction work at wolf/bear enclosure
2020/11/19,2020,11,19,,Wild boar,"Pellets, bread",Bread + pellets,2,2,1,34,1,0,0,0,0,0,NA,NA,Gunshot playback
2020/11/20,2020,11,20,,Wild boar,Pellets,Pellets,1,2,4,13,0,0,0,0,0,0,NA,NA,
2020/11/23,2020,11,23,,Wild boar,"Pellets, bread, tomatoes",Bread + pellets + vegetables/fruit,2,3,2,27,0,0,0,0,0,0,NA,NA,
2020/11/24,2020,11,24,,Wild boar,"Bread, pellets, tomatoes",Bread + pellets + vegetables/fruit,3,2,1,30,1,0,0,0,0,0,NA,NA,Golden Eagle playback
2020/11/25,2020,11,25,,Wild boar,"Pellets, bread",Bread + pellets,2,1,2,20,0,0,0,0,0,0,NA,NA,
2020/11/26,2020,11,26,,Wild boar,"Bread, pellets, salad",Bread + pellets + vegetables/fruit,3,1,2,29,0,0,0,1,0,0,NA,NA,Novel object
2020/11/27,2020,11,27,,Wild boar,"Pellets, bread",Bread + pellets,2,0,1,40,0,0,0,0,0,0,NA,NA,
2020/11/30,2020,11,30,,Wild boar,Pellets,Pellets,2,-1,1,30,0,0,0,0,0,0,NA,NA,
2020/12/01,2020,12,1,,Wild boar,Fish organs,Entrails,1,-1,1,47,0,0,0,1,0,0,NA,NA,Novel object
2020/12/02,2020,12,2,,Wild boar,Bread,Bread,4,-4,2,40,1,0,0,0,0,0,NA,NA,Gunshot playback
2020/12/03,2020,12,3,,Wild boar,Bread,Bread,3,-2,2,40,0,0,0,0,0,0,NA,NA,
2020/12/04,2020,12,4,,Wild boar,"Pellets, bread",Bread + pellets,2,-2,2,64,0,0,0,0,0,0,NA,NA,
2020/12/07,2020,12,7,,Wild boar,Bread,Bread,3,4,2,35,0,0,0,0,0,0,NA,NA,
2020/12/08,2020,12,8,,Wild boar,"Bread, tomatoes",Bread + vegetables/fruit,3,1,2,55,0,0,0,0,0,0,NA,NA,
2020/12/09,2020,12,9,,Wild boar,"Bread, entrails",Bread + entrails,3,1,5,40,0,0,0,0,0,0,NA,NA,
2020/12/10,2020,12,10,,Wild boar,"Bread, chicken heads and legs",Bread + raw meat scraps,3,1,5,35,0,0,0,0,0,0,NA,NA,
2020/12/11,2020,12,11,,Wild boar,"Bread, chicken heads and legs",Bread + raw meat scraps,3,0,2,45,0,0,0,0,0,0,NA,NA,
2020/12/14,2020,12,14,,Wild boar,"Bread, crullers",Bread,3,-1,2,42,0,0,0,0,0,0,NA,NA,
2020/12/15,2020,12,15,,Wild boar,"Pellets, bread, avocadoes",Bread + pellets + vegetables/fruit,3,-1,2,55,0,0,0,0,0,0,NA,NA,
2020/12/16,2020,12,16,,Wild boar,"Bread, pellets, entrails (fish organs?)",Bread + pellets + entrails,3,0,2,60,0,0,0,0,0,0,NA,NA,
2020/12/17,2020,12,17,,Wild boar,"Bread, berries, pellets",Bread + pellets + vegetables/fruit,2,-1,2,64,0,0,0,0,0,0,NA,NA,
2020/12/18,2020,12,18,,Wild boar,"Bread, pellets",Bread + pellets,4,-1.6,1,32,0,0,0,0,0,0,NA,NA,
2020/12/21,2020,12,21,,Wild boar,"Bread, pellets",Bread + pellets,3,3,,64,0,0,0,0,0,0,NA,NA,
2020/12/22,2020,12,22,,Wild boar,"Bread, gingerbread, pellets",Bread + pellets,3,7.6,2,32,0,0,0,0,0,0,NA,NA,
2020/12/28,2020,12,28,,Wild boar,"Papaya, grapes, bread, pellets",Bread + pellets + vegetables/fruit,2,2,2,38,0,0,0,0,0,0,NA,NA,
2020/12/29,2020,12,29,,Wild boar,"Bread, pellets",Bread + pellets,2,-1.6,0,52,0,0,0,0,0,0,NA,NA,
2020/12/30,2020,12,30,,Wild boar,"Pellets, bread",Bread + pellets,3,-0.4,2,45,0,0,0,0,0,0,NA,NA,
2020/12/31,2020,12,31,,Wild boar,"Bread, pellets, tomatoes, strawberries",Bread + pellets + vegetables/fruit,3,-0.5,1,13,0,0,0,0,0,0,NA,NA,
2021/01/02,2021,1,2,,Wild boar,"Pellets, banana",Pellets + vegetables/fruit,2,-3.7,2,46,0,0,0,0,0,0,NA,NA,
2021/01/05,2021,1,5,,Wild boar,"Bread, pellets, ham, salami, avocadoes",Bread + pellets + vegetables/fruit + kitchen scraps,3,-3,1,60,0,0,0,0,0,0,NA,NA,
2021/01/07,2021,1,7,,Wild boar,"Tomatoes, bread, grapes",Bread + vegetables/fruit,3,-1.2,5,50,0,0,0,0,0,0,NA,NA,
2021/01/08,2021,1,8,,Wild boar,"Bread, fruit, vegetables",Bread + vegetables/fruit,4,-1.7,2,74,0,0,0,0,0,0,NA,NA,
2021/01/11,2021,1,11,,Wild boar,"Bread, pellets, fruit",Bread + pellets + vegetables/fruit,2,-7.4,2,82,0,0,0,0,0,0,NA,NA,
2021/01/12,2021,1,12,,Wild boar,"Bread, tomatoes, ham",Bread + vegetables/fruit + kitchen scraps,3,-4.2,2,50,0,0,0,0,0,0,NA,NA,
2021/01/13,2021,1,13,,Wild boar,"Ham, bread, pellets, crullers, spread",Bread + pellets + kitchen scraps,3,0.4,5,75,0,0,0,0,0,0,NA,NA,
2021/01/14,2021,1,14,,Wild boar,"Bread, pellets, ham, strawberries, papaya",Bread + pellets + vegetables/fruit + kitchen scraps,3,-2,2,60,0,0,0,0,0,0,NA,NA,
2021/01/18,2021,1,18,,Wild boar,"Pellets, bread, tomatoes",Bread + pellets + vegetables/fruit,3,0.9,6,72,0,0,0,0,0,0,NA,NA,
2021/01/19,2021,1,19,,Wild boar,"Tomatoes, bread, strawberries, pellets, kakis",Bread + pellets + vegetables/fruit,3,0.2,1,40,0,0,0,0,0,0,NA,NA,
2021/01/20,2021,1,20,,Wild boar,"Bread, pellets, fruit",Bread + pellets + vegetables/fruit,2,1.2,1,67,0,0,0,0,0,0,NA,NA,
2021/01/21,2021,1,21,,Wild boar,"Bread, pellets, fish",Bread + pellets + entrails,3,-1,1,76,0,0,0,0,0,0,NA,NA,
2021/01/24,2021,1,24,,Wild boar,"Bread, pellets",Bread + pellets,2,2.8,5,53,0,0,0,0,0,0,NA,NA,
2021/01/25,2021,1,25,,Wild boar,"Bread, garlic, pellets",Bread + pellets,3,-0.7,2,40,0,0,0,0,0,0,NA,NA,
2021/01/26,2021,1,26,,Wild boar,"Pellets, bread, fish sticks, chicken nuggets, raw meat, fish",Bread + pellets + kitchen scraps + raw meat scraps + entrails,3,-1,5,50,0,0,0,0,0,0,NA,NA,
2021/01/28,2021,1,28,,Wild boar,"Bread, croissants, pellets",Bread + pellets,1,-1.1,2,60,0,0,0,0,0,0,NA,NA,
2021/01/29,2021,1,29,,Wild boar,"Bread, pellets",Bread + pellets,3,5,3,48,0,0,0,0,0,0,NA,NA,
2021/02/02,2021,2,2,,Wild boar,"Bread, one strawberry",Bread,3,2,3,32,0,0,0,0,0,0,NA,NA,
2021/02/03,2021,2,3,,Wild boar,"Bread, pellets",Bread + pellets,3,8,2,42,0,0,0,0,0,0,NA,NA,
2021/02/04,2021,2,4,,Wild boar,"Bread, walnuts, croissants, fish",Bread + nuts + entrails,4,7,2,35,0,0,0,0,0,0,NA,NA,
2021/02/06,2021,2,6,,Wild boar,"Bread, walnuts, salad",Bread + vegetables/fruit + nuts,3,1.2,1,30,0,0,0,0,0,0,NA,NA,
2021/02/08,2021,2,8,,Wild boar,"Bread, tomatoes, pellets",Bread + pellets + vegetables/fruit,3,1.2,2,40,0,0,0,0,0,0,NA,NA,
2021/02/09,2021,2,9,,Wild boar,"Bread, cookies, avocado, kakis",Bread + vegetables/fruit,3,0,2,50,0,0,0,0,0,0,NA,NA,
2021/02/10,2021,2,10,,Wild boar,"Bread, fish",Bread + entrails,4,1,5,55,0,0,0,0,0,0,NA,NA,
2021/02/17,2021,2,17,,Wild boar,"Bread, tomatoes, bananas, nuts",Bread + vegetables/fruit + nuts,3,7.1,2,52,0,0,0,0,0,0,NA,NA,
2021/02/18,2021,2,18,,Wild boar,"Bread, croissants",Bread,4,2.1,1,30,0,0,0,0,0,0,NA,NA,
2021/02/20,2021,2,20,,Wild boar,"Bread, pellets",Bread + pellets,2,5,1,45,0,0,0,0,0,0,NA,NA,
2021/02/21,2021,2,21,,Wild boar,"Bread, pellets",Bread + pellets,3,-0.3,1,64,0,0,0,0,0,0,NA,NA,
2021/02/22,2021,2,22,,Wild boar,"Pellets, bread, cheetos, tomatoes",Bread + pellets + vegetables/fruit + kitchen scraps,3,6,1,50,0,0,0,0,0,0,NA,NA,
2021/02/23,2021,2,23,,Wild boar,"Pellets, bread",Bread + pellets,2,4,1,35,0,0,0,0,0,0,NA,NA,
2021/02/24,2021,2,24,,Wild boar,"Bread, pellets",Bread + pellets,2,3.4,1,67,0,0,0,0,0,0,NA,NA,
2021/02/25,2021,2,25,,Wild boar,Bread,Bread,3,1.9,1,43,0,0,0,0,0,0,NA,NA,
2021/02/26,2021,2,26,,Wild boar,"Bread, pellets",Bread + pellets,2,5.9,1,35,0,0,0,0,0,0,NA,NA,
2021/03/01,2021,3,1,,Wild boar,"Bread, tomatoes",Bread + vegetables/fruit,3,-1.6,1,48,0,0,0,0,0,0,NA,NA,
2021/03/02,2021,3,2,,Wild boar,"Bread, tomatoes, salad",Bread + vegetables/fruit,3,-2.7,1,68,0,0,0,0,0,0,NA,NA,
2021/03/03,2021,3,3,,Wild boar,"Bread, pellets",Bread + pellets,3,-0.4,1,55,0,0,0,0,0,0,NA,NA,
2021/03/04,2021,3,4,,Wild boar,"Bread, pellets",Bread + pellets,3,3.2,2,35,0,0,0,0,0,0,NA,NA,
2021/03/05,2021,3,5,,Wild boar,"Bread, pellets",Bread + pellets,3,5,3,25,0,0,0,0,0,0,NA,NA,
2021/03/06,2021,3,6,,Wild boar,"Bread, corn, pellets, doughnuts",Bread + pellets + vegetables/fruit,4,-3.4,1,50,0,0,0,0,0,0,NA,NA,
2021/03/07,2021,3,7,,Wild boar,"Bread, pellets",Bread + pellets,3,-2.4,1,36,0,0,0,0,0,0,NA,NA,
2021/03/08,2021,3,8,,Wild boar,"Bread, pellets",Bread + pellets,3,-2.4,3,42,0,0,0,0,0,0,NA,NA,
2021/03/09,2021,3,9,,Wild boar,"Bread, pellets",Bread + pellets,3,-1.4,1,68,0,0,0,0,0,0,NA,NA,
2021/03/10,2021,3,10,,Wild boar,"Bread, pellets",Bread + pellets,3,0.8,6,40,0,0,0,0,0,0,NA,NA,
2021/03/11,2021,3,11,,Wild boar,"Bread, pellets, entrails",Bread + pellets + entrails,4,1.7,2,60,0,0,0,0,0,0,NA,NA,
2021/03/13,2021,3,13,,Wild boar,"Bread, pellets",Bread + pellets,3,3.1,1,52,0,0,0,0,0,0,NA,NA,
2021/03/15,2021,3,15,,Wild boar,"Bread, pellets, tomatoes",Bread + pellets + vegetables/fruit,3,2.7,5,43,0,0,0,0,0,0,NA,NA,
2021/03/16,2021,3,16,,Wild boar,"Bread, bananas, salad, pellets",Bread + pellets + vegetables/fruit,3,2.1,5,45,0,0,0,0,0,0,NA,NA,
2021/03/18,2021,3,18,,Wild boar,"Bread, pellets",Bread + pellets,3,-0.6,1,61,0,0,0,0,0,0,NA,NA,
2021/03/19,2021,3,19,,Wild boar,"Bread, pellets",Bread + pellets,3,0.2,5,40,0,0,0,0,0,0,NA,NA,
2021/03/22,2021,3,22,,Wild boar,"Bread, pellets",Bread + pellets,4,1,4,26,0,0,0,0,0,0,NA,NA,
2021/03/23,2021,3,23,,Wild boar,"Bread, tomatoes, burgers, pastries",Bread + vegetables/fruit + kitchen scraps,4,1.6,2,51,0,0,0,0,0,0,NA,NA,
2021/03/24,2021,3,24,,Wild boar,"Bread, pellets, pastries",Bread + pellets,4,2.6,2,35,0,0,0,0,0,0,NA,NA,
2021/03/25,2021,3,25,,Wild boar,"Bread, pellets",Bread + pellets,2,1.8,1,68,0,0,0,0,0,0,NA,NA,
2021/03/30,2021,3,30,,Wild boar,"Bread, pellets, entrails",Bread + pellets + entrails,3,3.1,1,42,0,0,0,0,0,0,NA,NA,
2021/03/31,2021,3,31,,Wild boar,"Bread, fish",Bread + entrails,3,5.3,1,42,0,0,0,0,0,0,NA,NA,
2021/04/01,2021,4,1,,Wild boar,"Bread, pellets, sausages, fish intestines",Bread + pellets + kitchen scraps + entrails,3,6.2,1,70,0,0,0,0,0,0,NA,NA,
2021/04/02,2021,4,2,,Wild boar,"Bread, pellets",Bread + pellets,3,11,2,45,0,0,0,0,0,0,NA,NA,
2021/04/06,2021,4,6,,Wild boar,"Bread, pellets, one tomato",Bread + pellets + vegetables/fruit,3,-1.5,2,25,0,0,0,0,0,0,NA,NA,
2021/04/07,2021,4,7,,Wild boar,"Bread, fish entrails",Bread + entrails,5,-2,6,35,0,0,0,0,0,0,NA,NA,
2021/04/08,2021,4,8,,Wild boar,"Bread, pellets, pastry",Bread + pellets,5,0.6,5,30,0,0,0,0,0,0,NA,NA,
2021/04/09,2021,4,9,,Wild boar,"Bread, pastry",Bread,5,-1.9,1,45,0,0,0,0,0,0,NA,NA,
2021/04/12,2021,4,12,,Wild boar,"Bread, pellets, strawberries, tomatoes, grapes",Bread + pellets + vegetables/fruit,3,5.9,1,45,0,0,0,0,0,0,NA,NA,
2021/04/13,2021,4,13,,Wild boar,"Pellets, bread, strawberries, fish intestines",Bread + pellets + vegetables/fruit + entrails,4,0.2,5,55,0,0,0,0,0,0,NA,NA,
2021/04/14,2021,4,14,,Wild boar,"Pellets, bread",Bread + pellets,4,0.9,5,40,0,0,0,0,0,0,NA,NA,
2021/04/15,2021,4,15,,Wild boar,"Bread, pastries, pellets, kiwi, banana",Bread + pellets + vegetables/fruit,3,0.2,5,47,0,0,0,0,0,0,NA,NA,
2021/04/19,2021,4,19,,Wild boar,"Pellets, bread, tomatoes, few cereals",Bread + pellets + vegetables/fruit,3,3.8,3,30,0,0,0,0,0,0,NA,NA,
2021/04/20,2021,4,20,,Wild boar,"Fish intestines, bread, pellets",Bread + pellets + entrails,4,4.7,3,25,0,0,0,0,0,0,NA,NA,
2021/04/21,2021,4,21,,Wild boar,"Bread, pastry",Bread,3,4.2,1,45,0,0,0,0,0,0,NA,NA,
2021/04/23,2021,4,23,,Wild boar,"Pellets, bread",Bread + pellets,2,2.5,1,30,0,0,0,0,0,0,NA,NA,
2021/04/26,2021,4,26,,Wild boar,"Bread, pellets, pastries",Bread + pellets,3,2.8,1,55,0,0,0,0,0,0,NA,NA,
2021/04/27,2021,4,27,,Wild boar,"Peanuts, bread, pellets",Bread + pellets + nuts,3,2.2,1,60,0,0,0,0,0,0,NA,NA,
2021/04/28,2021,4,28,,Wild boar,"Fish entrails, bread, pellets",Bread + pellets + entrails,3,7.7,1,55,0,0,0,0,0,0,NA,NA,
2021/04/29,2021,4,29,,Wild boar,"Corn, bread",Bread + vegetables/fruit,3,11.2,2,40,0,0,0,0,0,0,NA,NA,
2021/05/03,2021,5,3,,Wild boar,"Pellets, bread",Bread + pellets,2,4.9,3,35,0,0,0,0,0,0,NA,NA,
2021/05/04,2021,5,4,,Wild boar,"Pellets, bread",Bread + pellets,2,5.9,1,45,0,0,0,0,0,0,NA,NA,
2021/05/05,2021,5,5,,Wild boar,"Chicken head and leg, fish head, tail, and entrails, bread, pellets",Bread + pellets + raw meat scraps + entrails,2,9.5,2,40,0,0,0,0,0,0,NA,NA,
2021/05/06,2021,5,6,,Wild boar,"Fish entrails, bread, pellets",Bread + pellets + entrails,3,5.7,2,40,0,0,0,0,0,0,NA,NA,
2021/05/10,2021,5,10,,Wild boar,"Bread, pellets",Bread + pellets,2,15.4,1,45,0,0,0,0,0,0,NA,NA,
2021/05/11,2021,5,11,,Wild boar,"Fish entrails, bread, pellets",Bread + pellets + entrails,3,21.8,1,45,0,0,0,0,0,0,NA,NA,
2021/05/12,2021,5,12,,Wild boar,"Pastries, bread, pellets",Bread + pellets,3,9.3,3,25,0,0,0,0,0,0,NA,NA,
2021/05/14,2021,5,14,,Wild boar,"Pastries, bread",Bread,2,8.4,2,50,0,0,0,0,0,0,NA,NA,
2021/05/17,2021,5,17,,Wild boar,"Bread, pastries",Bread,4,9.9,3,40,0,0,0,0,0,0,NA,NA,
2021/05/18,2021,5,18,,Wild boar,"Fish entrails, bread, pastries",Bread + entrails,5,10.3,2,45,0,0,0,0,0,0,NA,NA,
2021/05/19,2021,5,19,,Wild boar,"Bread, pastries",Bread,2,7.3,3,30,0,0,0,0,0,0,NA,NA,
2021/05/21,2021,5,21,,Wild boar,"Bread, pellets",Bread + pellets,2,9.4,1,50,0,0,0,0,0,0,NA,NA,
2021/05/25,2021,5,25,,Wild boar,Bread,Bread,3,7.8,2,35,0,0,0,0,0,0,NA,NA,
2021/05/26,2021,5,26,,Wild boar,"Fish entrails, bread, pastries",Bread + entrails,4,9.6,1,45,0,0,0,0,0,0,NA,NA,
2021/05/27,2021,5,27,,Wild boar,"Fish head and pieces, bread, pastries, peanuts",Bread + nuts + raw meat scraps,4,9.8,2,40,0,0,0,0,0,0,NA,NA,
2021/05/28,2021,5,28,,Wild boar,"Fish head, bread",Bread + raw meat scraps,4,9.2,2,45,0,0,0,0,0,0,NA,NA,
2021/05/31,2021,5,31,,Wild boar,"Bread, pastries, pellets",Bread + pellets,3,10.3,1,35,0,0,0,0,0,0,NA,NA,
2021/06/01,2021,6,1,,Wild boar,"Pastries, bread, pellets, aperitif snacks",Bread + pellets + kitchen scraps,3,9.9,1,45,0,0,0,0,0,0,NA,NA,
2021/06/02,2021,6,2,,Wild boar,"Fish entrails, chocolate cake, bread, pellets",Bread + pellets + kitchen scraps + entrails,3,10,1,30,0,0,0,0,0,0,NA,NA,
2021/06/04,2021,6,4,,Wild boar,"Bananas, tomatoes, potatoes, bread, pellets",Bread + pellets + vegetables/fruit,3,12.7,1,45,0,0,0,0,0,0,NA,NA,
2021/06/07,2021,6,7,,Wild boar,"Bread, pellets, fried chicken, tomatoes",Bread + pellets + vegetables/fruit + kitchen scraps,2,15.4,2,35,0,0,0,0,0,0,NA,NA,
2021/06/08,2021,6,8,,Wild boar,"Fish entrails, pellets",Pellets + entrails,3,15.1,1,20,0,0,0,0,0,0,NA,NA,
2021/06/09,2021,6,9,,Wild boar,"Pellets, bread",Bread + pellets,2,15.6,1,35,0,0,0,0,0,0,NA,NA,
2021/06/10,2021,6,10,,Wild boar,"Pellets, bread",Bread + pellets,2,16.1,2,35,0,0,0,0,0,0,NA,NA,
2021/06/14,2021,6,14,,Wild boar,"Bread, pellets",Bread + pellets,2,11.8,1,40,0,0,0,0,0,0,NA,NA,
2021/06/15,2021,6,15,,Wild boar,"Bread, pellets",Bread + pellets,2,15.7,1,35,0,0,0,0,0,0,NA,NA,
2021/06/17,2021,6,17,,Wild boar,"Bread, potatoes",Bread + vegetables/fruit,2,19.1,1,30,0,0,0,0,0,0,NA,NA,
2021/06/18,2021,6,18,,Wild boar,Bread,Bread,2,21.1,1,35,0,0,0,0,0,0,NA,NA,
2021/06/21,2021,6,21,,Wild boar,"Bread, pellets, tomatoes",Bread + pellets + vegetables/fruit,2,21.7,2,40,0,0,0,0,0,0,NA,NA,
2021/06/22,2021,6,22,,Wild boar,"Bread, pellets",Bread + pellets,3,18,2,35,0,0,0,0,0,0,NA,NA,
2021/06/24,2021,6,24,,Wild boar,"Bread, fish entrails",Bread + entrails,3,18,1,35,0,0,0,0,0,0,NA,NA,
2021/06/25,2021,6,25,,Wild boar,"Bread, peanuts",Bread + nuts,3,16.2,3,40,0,0,0,0,0,0,NA,NA,
2021/06/28,2021,6,28,,Wild boar,"Bread, tomatoes, potatoes, pellets, cake",Bread + pellets + vegetables/fruit + kitchen scraps,3,17.9,1,40,0,0,0,0,0,0,NA,NA,
2021/06/29,2021,6,29,,Wild boar,"Bread, bananas, mixed vegetables, entrails, pasta",Bread + vegetables/fruit + kitchen scraps + entrails,4,20.7,2,35,0,0,0,0,0,0,NA,NA,
2021/06/30,2021,6,30,,Wild boar,"Peanuts, bread, pastries, fish entrails",Bread + nuts + entrails,3,16.2,2,40,0,0,0,0,0,0,NA,1,
2021/07/01,2021,7,1,,Wild boar,"Strawberries, bread, pellets, pastries",Bread + pellets + vegetables/fruit,3,15.2,2,45,0,0,0,0,0,0,NA,NA,
2021/07/05,2021,7,5,,Wild boar,"Spaghetti, bread, pellets",Bread + pellets + kitchen scraps,2,15.9,2,40,0,0,0,0,0,0,NA,1,
2021/07/06,2021,7,6,,Wild boar,"Bread, pizza, tomatoes, bananas, pellets",Bread + pellets + vegetables/fruit,3,16.4,1,30,0,0,0,0,0,0,NA,NA,
2021/07/08,2021,7,8,,Wild boar,"Apples, potatoes, bread, pastries, pizza, pellets",Bread + pellets + vegetables/fruit,3,18.9,1,35,0,0,0,0,0,0,NA,3,
2021/07/09,2021,7,9,,Wild boar,"Pastries, pellets, bread",Bread + pellets,3,15.3,2,45,0,0,0,0,0,0,NA,3,
2021/07/12,2021,7,12,,Wild boar,"Bread, pellets, pastries",Bread + pellets,2,13.6,1,45,0,0,0,0,0,0,NA,4,
2021/07/13,2021,7,13,,Wild boar,"Fish entrails, pizza, tomatoes, bread, pellets",Bread + pellets + vegetables/fruit + entrails,3,19.2,1,45,0,0,0,0,0,0,NA,2,
2021/07/14,2021,7,14,,Wild boar,"Fish entrails, bread, pellets, pastries",Bread + pellets + entrails,2,14.9,1,35,0,0,0,0,0,0,NA,1,
2021/07/15,2021,7,15,,Wild boar,"Kiwi, bread, pellets",Bread + pellets + vegetables/fruit,2,16.1,1,45,0,0,0,0,0,0,NA,6,
2021/07/16,2021,7,16,,Wild boar,"Bread, pellets, pastries",Bread + pellets,3,14.6,2,45,0,0,0,0,0,0,NA,1,
2021/07/19,2021,7,19,,Wild boar,"Bread, pellets",Bread + pellets,2,16.6,2,55,0,0,0,0,0,0,NA,1,
2021/07/20,2021,7,20,,Wild boar,"Bread, pellets, cheese, corn",Bread + pellets + vegetables/fruit + cheese,4,16.4,1,45,0,0,0,0,0,0,NA,2,
2021/07/21,2021,7,21,,Wild boar,"Fish entrails, cake, bread, pastries, pellets",Bread + pellets + kitchen scraps + entrails,4,14.6,1,45,0,0,0,0,0,0,1,1,
2021/07/22,2021,7,22,,Wild boar,"Bread, fish entrails",Bread + entrails,4,17.3,1,50,0,0,0,0,0,0,1,NA,
2021/07/23,2021,7,23,,Wild boar,"Fish head and tails, bread, pastries, pizza",Bread + raw meat scraps,4,16.9,1,50,0,0,0,0,0,0,NA,3,
2021/07/27,2021,7,27,,Wild boar,"Bread, potatoes, pellets",Bread + pellets + vegetables/fruit,3,16.6,2,50,0,0,0,0,0,0,NA,2,
2021/07/29,2021,7,29,,Wild boar,"Bread, pellets, strawberries",Bread + pellets + vegetables/fruit,3,14.9,1,25,0,0,0,0,0,0,NA,NA,
2021/07/30,2021,7,30,,Wild boar,"Bread, pellets, sauerkraut",Bread + pellets + vegetables/fruit,4,17.2,1,35,0,0,0,0,0,0,NA,NA,
2021/08/02,2021,8,2,,Wild boar,"Bread, pellets, tomatoes",Bread + pellets + vegetables/fruit,2,13.8,2,35,0,0,0,0,0,0,NA,NA,
2021/08/03,2021,8,3,,Wild boar,"Bread, pellets, tomatoes, entrails",Bread + pellets + vegetables/fruit + entrails,4,13.6,2,45,0,0,0,0,0,0,NA,NA,
2021/08/04,2021,8,4,,Wild boar,"Bread, pellets, ravioli",Bread + pellets + kitchen scraps,3,14.1,2,45,0,0,0,0,0,0,NA,NA,
2021/08/05,2021,8,5,,Wild boar,"Bread, pellets",Bread + pellets,2,13.4,3,50,0,0,0,0,0,0,NA,NA,
2021/08/09,2021,8,9,,Wild boar,"Bread, pellets, corn, tomato",Bread + pellets + vegetables/fruit,2,13.1,1,45,0,0,0,0,0,0,NA,NA,
2021/08/10,2021,8,10,,Wild boar,"Bread, pellets, sushi, rice, ravioli",Bread + pellets + kitchen scraps,3,15.2,1,50,0,0,0,0,0,0,NA,NA,
2021/08/11,2021,8,11,,Wild boar,"Bread, pellets, entrails",Bread + pellets + entrails,3,15.8,1,45,0,0,0,0,0,0,NA,NA,
2021/08/12,2021,8,12,,Wild boar,"Bread, pellets",Bread + pellets,3,16.5,1,50,0,0,0,0,0,0,NA,NA,
2021/08/13,2021,8,13,,Wild boar,"Bread, pellets",Bread + pellets,3,18.8,1,50,0,0,0,0,0,0,NA,NA,
2021/08/16,2021,8,16,,Wild boar,"Bread, pellets, tomatoes",Bread + pellets + vegetables/fruit,2,17.2,2,45,0,0,0,0,0,0,NA,NA,
2021/08/17,2021,8,17,,Wild boar,"Bread, pellets, fish entrails",Bread + pellets + entrails,3,11.9,3,50,0,0,0,0,0,0,NA,NA,
2021/08/18,2021,8,18,,Wild boar,"Bread, pellets, entrails",Bread + pellets + entrails,3,12.2,3,45,0,0,0,0,0,0,NA,NA,
2021/08/19,2021,8,19,,Wild boar,"Bread, pellets, fish entrails",Bread + pellets + entrails,3,14.6,2,50,0,0,0,0,0,0,NA,NA,
2021/08/20,2021,8,20,,Wild boar,"Bread, carrots, tomatoes, pellet powder",Bread + pellets + vegetables/fruit,2,14.7,2,40,0,0,0,0,0,0,NA,NA,
2021/08/23,2021,8,23,,Wild boar,"Pellets, bread",Bread + pellets,2,14.4,2,45,0,0,0,0,0,0,NA,NA,
2021/08/27,2021,8,27,,Wild boar,Bread,Bread,2,10.4,3,50,0,0,0,0,0,0,NA,NA,
2021/08/30,2021,8,30,,Wild boar,"Bread, pellets, tomatoes, lettuce, peppers, tomato, rice, beans",Bread + pellets + vegetables/fruit,2,10.8,4,35,0,0,0,0,0,0,NA,NA,
2021/08/31,2021,8,31,,Wild boar,"Pellets, bread, entrails",Bread + pellets + entrails,4,11.1,3,50,0,0,0,0,0,0,NA,NA,
2021/09/01,2021,9,1,,Wild boar,"Bread, pellets, tomato, parmesan",Bread + pellets + vegetables/fruit + cheese,4,12.6,2,50,0,0,0,0,0,0,NA,NA,
2021/09/02,2021,9,2,,Wild boar,"Pellets, bread, crackers, rice, lentils",Bread + pellets + kitchen scraps,3,8.6,1,50,0,0,0,0,0,0,NA,NA,
